"id","language","text"
170,"es","?RT @PontGasso: Fem Consell Agrupació @Pdemocratacat #Anoia amb el president Federació @jaumecasanas @marccastells @santibroch https://t.co/…"
171,"es","?RT @ConsorciAOC: Recull gràfic del II Congrés de #governDigital https://t.co/BpzxPrd5n9 @eapccat @localret @diba @governaciocat @XarxaIP @F…"
172,"es","?RT @ConsorciAOC: Recull gràfic del II Congrés de #governDigital https://t.co/BpzxPrd5n9 @eapccat @localret @diba @governaciocat @XarxaIP @F…"
173,"es","?1a assemblea @PDeCATSantCugat amb el nou presi Eloi i tot el seu equip. Molta sort i bona feina @mconesapages… https://t.co/uNsPUTk2VR"
174,"es","?RT @EnriquePagr: https://t.co/iqrcid2jKv"
175,"es","?RT @Mortimer_Fu: —Merche, desde que encontraste ese trabajo ya no me miras con deseo cuando salgo desnudo de la ducha... https://t.co/7fEdG…"
176,"es","?RT @diba: Millorem la formació dels nostres empleats amb 228 cursos dins del Banc d’Accions Formatives BAF 2017 @FormacioDIBA https://t.co/…"
177,"es","?RT @diba: Millorem la formació dels nostres empleats amb 228 cursos dins del Banc d’Accions Formatives BAF 2017 @FormacioDIBA https://t.co/…"
178,"es","?RT @SiPeroNo1: ¿Algún medio exige explicaciones a Cifuentes por las inundaciones en sus hospitales?. Si dependieran de Carmena, no… "
179,"es","?RT @bdncom: Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum organitzada…"
180,"es","?RT @DiarideBadalona: .@mariadolorsa, @nuriaparlon i regidors de #Badalona i #Santacoloma contra talls de llum i preus energètics https://t.…"
181,"es","?RT @DiarideBadalona: .@mariadolorsa, @nuriaparlon i regidors de #Badalona i #Santacoloma contra talls de llum i preus energètics https://t.…"
182,"es","?RT @caval100: Despenalizar la eutanasia: No más ambigüedades. Carlos Barra Galán https://t.co/p5837F5nrC vía @nuevatribuna"
183,"es","?RT @Cazatalentos: La corrupción no sería posible sin cómplices necesarios...
Ana Rosa Quintana: “no hay otra solución que Rajoy” https://t.…"
184,"es","?RT @ArranBarcelona: Els joves estarem al costat del poble quan l'Estat espanyol intenti evitar el Referèndum. No podran aturar les urnes ht…"
185,"es","?RT @diba: Les quatre diputacions catalanes es comprometen a treballar per sumar món local al Manifest #PacteNacionalReferèndum https://t.co…"
186,"es","?RT @diba: Les quatre diputacions catalanes es comprometen a treballar per sumar món local al Manifest #PacteNacionalReferèndum https://t.co…"
187,"es","?RT @eljueves: ¡LA PORTADA DE LA SEMANA! El musical que arrasa en España, una historia de amor entre Gobierno y jueces. ¿Era esto… "
188,"es","?RT @mariallauradof: S'ha inaugura't  al centre cívic de #Begues l'exposició ""Controles?"" dedicada a prevenir el consum de drogues @diba htt…"
189,"es","?RT @mariallauradof: S'ha inaugura't  al centre cívic de #Begues l'exposició ""Controles?"" dedicada a prevenir el consum de drogues @diba htt…"
190,"es","?RT @ArranBarcelona: Els joves estarem al costat del poble quan l'Estat espanyol intenti evitar el Referèndum. No podran aturar les urnes ht…"
191,"es","?RT @nuriaparlon: .@Joan_Mercader fins avui alcalde de Malgrat acompanyat pels malgratencs i malgratenques! Endavant Joan i a guanyar per ma…"
192,"es","?RT @acmfotograf: Parc Mediambiental de Gualba.

@parcdegualba @gualbainfo @bcnmoltmes @catexperience @xarxadeparcs @diba @espaiterra @TurM…"
193,"es","?RT @acmfotograf: Parc Mediambiental de Gualba.

@parcdegualba @gualbainfo @bcnmoltmes @catexperience @xarxadeparcs @diba @espaiterra @TurM…"
194,"es","?RT @nuriaparlon: En marxa els ateneus cooperatius #santacoloma https://t.co/zQ3IM3HI1S @esteveserrano @grameimpuls"
195,"es","?RT @nuriaparlon: Més de 300 persones en beneficiaran de la formació 2017 @grameimpuls https://t.co/t85pb8Dkth #santacoloma @esteveserrano"
196,"es","?RT @Joan_Mercader: Gràcies x acompanyar-nos avui!? @salvadorilla @nuriaparlon @XescoG @mgmonforte @xavieramor @AliRodLuna @VanesaVmunoz @PS…"
